term,count,unknown_category,kind,research_category,fields,example_contexts
Pt(111),5,facet_or_miller_index,unknown_high_value,unknown_information,surfaces; Material,
β-CoOOH,4,composite_material_name,unknown_high_value,unknown_information,materials; Modeling Keywords; Material,
(0112̅),3,facet_or_miller_index,unknown_high_value,unknown_information,Facet; facets,
Au(100),3,facet_or_miller_index,unknown_high_value,unknown_information,surfaces; Modeling Keywords; Material,
Au(111),3,facet_or_miller_index,unknown_high_value,unknown_information,surfaces; Material; Modeling Keywords,
NixPy,3,formula_or_composition,unknown_high_value,unknown_information,Modeling Keywords; Material,
phase evolution,3,other_unknown,unknown_high_value,unknown_information,modeling_keywords; Reaction Type; Modeling Keywords,
Ba0.5Sr0.5Co0.8Fe0.2O3–d,2,composite_material_name,unknown_high_value,unknown_information,materials; Material,
black phosphorus,2,composite_material_name,unknown_high_value,unknown_information,materials; Modeling Keywords,
Co nanochains,2,composite_material_name,unknown_high_value,unknown_information,clusters; Material,
Co oxides,2,composite_material_name,unknown_high_value,unknown_information,materials; Material,
CoO nanocubes,2,composite_material_name,unknown_high_value,unknown_information,clusters; Material,
Co–Fe–Cr (oxy)Hydroxides,2,composite_material_name,unknown_high_value,unknown_information,materials; Material,
Mo-Ni3S2/NixPy/NF electrode,2,composite_material_name,unknown_high_value,unknown_information,Material,
rutile TiO2,2,composite_material_name,unknown_high_value,unknown_information,Surface/Support,
Ni(111),2,facet_or_miller_index,unknown_high_value,unknown_information,surfaces; Material,
Pt(335),2,facet_or_miller_index,unknown_high_value,unknown_information,surfaces; Material,
β-CoOOH(0112̅),2,facet_or_miller_index,unknown_high_value,unknown_information,surfaces,
*OOH,2,formula_or_composition,unknown_high_value,unknown_information,intermediates; adsorbates,
Ag/g-C3N4,2,formula_or_composition,unknown_high_value,unknown_information,Material; Modeling Keywords,
Habs,2,formula_or_composition,unknown_high_value,unknown_information,intermediates; Modeling Keywords,
Hads,2,formula_or_composition,unknown_high_value,unknown_information,adsorbates; Modeling Keywords,
Heterostructure,2,formula_or_composition,unknown_high_value,unknown_information,Surface/Support,
Ni1−xFexOOH,2,formula_or_composition,unknown_high_value,unknown_information,materials; Composition,
O*,2,formula_or_composition,unknown_context,unknown_information,intermediates,
OHads,2,formula_or_composition,unknown_high_value,unknown_information,adsorbates; Modeling Keywords,
(101̅4),2,other_unknown,unknown_high_value,unknown_information,facets; Facet,
11.0%,2,other_unknown,unknown_high_value,unknown_information,Coverage,
7.9%,2,other_unknown,unknown_high_value,unknown_information,Coverage,
9.4%,2,other_unknown,unknown_high_value,unknown_information,Coverage,
nanoporous,2,other_unknown,unknown_high_value,unknown_information,modeling_keywords; Modeling Keywords,
planar deposition,2,other_unknown,unknown_high_value,unknown_information,modeling_keywords; Modeling Keywords,
selenides,2,other_unknown,unknown_high_value,unknown_information,materials; Composition,
hollow nanorods,2,structure_or_material_phrase,unknown_high_value,unknown_information,Modeling Keywords,
0.4 wt % sAu,1,composite_material_name,unknown_high_value,unknown_information,Composition,
bi-,1,composite_material_name,unknown_high_value,unknown_information,Composition,
Black Phosphorus Nanosheets,1,composite_material_name,unknown_high_value,unknown_information,Material,
Bulk Ir,1,composite_material_name,unknown_high_value,unknown_information,Material,
Bulk Pt,1,composite_material_name,unknown_high_value,unknown_information,Material,
Bulk Ru,1,composite_material_name,unknown_high_value,unknown_information,Material,
Cu-based nanostructures,1,composite_material_name,unknown_high_value,unknown_information,materials,
g-C3N4,1,composite_material_name,unknown_high_value,unknown_information,Composition,
mono-,1,composite_material_name,unknown_high_value,unknown_information,Composition,
Nickel–Bismuth Oxide,1,composite_material_name,unknown_high_value,unknown_information,Material,
NiCo Layer Double Hydroxide,1,composite_material_name,unknown_high_value,unknown_information,materials,
NiCo LDH/CC,1,composite_material_name,unknown_high_value,unknown_information,Material,
NiFe layered double hydroxide,1,composite_material_name,unknown_high_value,unknown_information,materials,
NiFe LDH,1,composite_material_name,unknown_high_value,unknown_information,Material,
Polyaniline fibers,1,composite_material_name,unknown_high_value,unknown_information,Material,
Pt bimetallic,1,composite_material_name,unknown_high_value,unknown_information,Material,
Pt-Bi Alloy,1,composite_material_name,unknown_high_value,unknown_information,Material,
PtBi alloy,1,composite_material_name,unknown_high_value,unknown_information,materials,
PtTiMe ternary alloys,1,composite_material_name,unknown_high_value,unknown_information,materials,
Ru modified,1,composite_material_name,unknown_high_value,unknown_information,Composition,
sAu/NiFe LDH,1,composite_material_name,unknown_high_value,unknown_information,Material,
Sn SAs/G-Na,1,composite_material_name,unknown_high_value,unknown_information,Material,
transition metal-based catalysts,1,composite_material_name,unknown_high_value,unknown_information,materials,
tri-metallic,1,composite_material_name,unknown_high_value,unknown_information,Composition,
Ag(111),1,facet_or_miller_index,unknown_high_value,unknown_information,surfaces,
Co3O4(001),1,facet_or_miller_index,unknown_high_value,unknown_information,surfaces,
Co3O4(110),1,facet_or_miller_index,unknown_high_value,unknown_information,surfaces,
PtBi(100),1,facet_or_miller_index,unknown_high_value,unknown_information,surfaces,
PtxRu1-x/Ru(0001),1,facet_or_miller_index,unknown_high_value,unknown_information,materials,
Ru(0001),1,facet_or_miller_index,unknown_high_value,unknown_information,surfaces,
β-CoOOH(0001),1,facet_or_miller_index,unknown_high_value,unknown_information,surfaces,
*H2O,1,formula_or_composition,unknown_context,unknown_information,intermediates,
*O,1,formula_or_composition,unknown_context,unknown_information,intermediates,
*OH,1,formula_or_composition,unknown_high_value,unknown_information,adsorbates,
Co3+δ,1,formula_or_composition,unknown_context,unknown_information,Active Site,
CO32−,1,formula_or_composition,unknown_high_value,unknown_information,adsorbates,
Cu-based,1,formula_or_composition,unknown_high_value,unknown_information,Material,
Cyanide-modified,1,formula_or_composition,unknown_high_value,unknown_information,Composition,
Fe)OOH,1,formula_or_composition,unknown_high_value,unknown_information,Material,
Fe-free,1,formula_or_composition,unknown_high_value,unknown_information,material_parameters,
H*,1,formula_or_composition,unknown_high_value,unknown_information,adsorbates,
HO*,1,formula_or_composition,unknown_context,unknown_information,intermediates,
HOO*,1,formula_or_composition,unknown_context,unknown_information,intermediates,
Ni(Fe),1,formula_or_composition,unknown_high_value,unknown_information,Material,
NiCoOOH*,1,formula_or_composition,unknown_context,unknown_information,intermediates,
Synthesis,1,formula_or_composition,unknown_context,unknown_information,Reaction Type,
*,1,other_unknown,unknown_high_value,unknown_information,adsorption_sites,
0.4 wt % Au loading,1,other_unknown,unknown_high_value,unknown_information,material_parameters,
2D material,1,other_unknown,unknown_high_value,unknown_information,material_parameters,
3D porous framework,1,other_unknown,unknown_high_value,unknown_information,material_parameters,
4th main group element,1,other_unknown,unknown_high_value,unknown_information,material_parameters,
ammonia,1,other_unknown,unknown_context,unknown_information,products,
Atomic Simulation Environment,1,other_unknown,unknown_high_value,unknown_information,modeling_keywords,
atomically thin structure,1,other_unknown,unknown_high_value,unknown_information,material_parameters,
B-layer (octahedral Co and O ions),1,other_unknown,unknown_context,unknown_information,Surface Termination,
Bi02:NiO,1,other_unknown,unknown_high_value,unknown_information,Composition,
Bi05:NiO,1,other_unknown,unknown_high_value,unknown_information,Composition,
bimetallic,1,other_unknown,unknown_high_value,unknown_information,material_parameters,
bimetallic alloy,1,other_unknown,unknown_high_value,unknown_information,material_parameters,
bimetallic catalysts,1,other_unknown,unknown_high_value,unknown_information,modeling_keywords,
binding,1,other_unknown,unknown_high_value,unknown_information,modeling_keywords,
Bridging Pd-Pd,1,other_unknown,unknown_context,unknown_information,Active Site,
bulk material,1,other_unknown,unknown_high_value,unknown_information,Modeling Keywords,
bulk materials,1,other_unknown,unknown_high_value,unknown_information,material_parameters,
bulk phase,1,other_unknown,unknown_high_value,unknown_information,material_parameters,
carrier mobility 1000 cm2 V−1 s−1 at ten-layer thickness,1,other_unknown,unknown_high_value,unknown_information,material_parameters,
catalyst,1,other_unknown,unknown_high_value,unknown_information,modeling_keywords,
catalyst development,1,other_unknown,unknown_high_value,unknown_information,modeling_keywords,
Catalyst Preparation,1,other_unknown,unknown_context,unknown_information,Reaction Type,
"Co2+ (d7, high spin)",1,other_unknown,unknown_high_value,unknown_information,material_parameters,
"Co3+ (d6, low spin)",1,other_unknown,unknown_high_value,unknown_information,material_parameters,
CoIII-containing species,1,other_unknown,unknown_high_value,unknown_information,material_parameters,
composition,1,other_unknown,unknown_high_value,unknown_information,Modeling Keywords,
